Amino_Acid,Can_Produce,Status,Max_Flux
ala__L_c,False,infeasible,0
arg__L_c,False,infeasible,0
asn__L_c,False,infeasible,0
asp__L_c,False,infeasible,0
cys__L_c,False,infeasible,0
gln__L_c,False,infeasible,0
glu__L_c,False,infeasible,0
gly_c,False,infeasible,0
his__L_c,False,infeasible,0
ile__L_c,False,infeasible,0
leu__L_c,False,infeasible,0
lys__L_c,False,infeasible,0
met__L_c,False,infeasible,0
phe__L_c,False,infeasible,0
pro__L_c,False,infeasible,0
ser__L_c,False,infeasible,0
thr__L_c,False,infeasible,0
trp__L_c,False,infeasible,0
tyr__L_c,False,infeasible,0
val__L_c,False,infeasible,0
