Exchange,Flux,Uptake_Rate
EX_no3_e,-667.0812143312156,667.0812143312156
EX_glc__D_e,-516.5748903274481,516.5748903274481
EX_o2_e,-435.04107117755376,435.04107117755376
EX_ocdcea_e,-123.94883899135583,123.94883899135583
EX_glyc3p_e,-62.3814042556735,62.3814042556735
EX_akg_e,-59.83320692531161,59.83320692531161
EX_val__L_e,-55.36787292149733,55.36787292149733
EX_fum_e,-36.84721223513102,36.84721223513102
EX_acac_e,-30.50998932943103,30.50998932943103
EX_s_e,-23.137644434314023,23.137644434314023
EX_lys__L_e,-21.746877495429107,21.746877495429107
EX_3cmp_e,-19.305018765404792,19.305018765404792
EX_arg__L_e,-18.744998377228082,18.744998377228082
EX_ile__L_e,-18.411470335701093,18.411470335701093
EX_ala_L_thr__L_e,-16.07671067278311,16.07671067278311
EX_gua_e,-15.41390052907595,15.41390052907595
EX_pro__L_e,-14.008748094195093,14.008748094195093
EX_gam_e,-12.674445811399817,12.674445811399817
EX_k_e,-12.369815506322963,12.369815506322963
EX_glyglygln_e,-12.294719414890428,12.294719414890428
EX_phe__L_e,-11.740656016245067,11.740656016245067
EX_3amp_e,-11.252056130208036,11.252056130208036
EX_gly_met_e,-9.753556401933782,9.753556401933782
EX_tyr__D_e,-8.752908905123755,8.752908905123755
EX_ala_his_e,-5.718583205645318,5.718583205645318
EX_gly_gln_e,-4.452976419148191,4.452976419148191
EX_indole_e,-3.60226761628704,3.60226761628704
EX_thymd_e,-1.6581977455054568,1.6581977455054568
EX_dad_2_e,-1.6581977455054566,1.6581977455054566
EX_fe2_e,-0.920354882594808,0.920354882594808
EX_mg2_e,-0.5497540870694733,0.5497540870694733
EX_cl_e,-0.32985245224168397,0.32985245224168397
EX_ca2_e,-0.32985245224168397,0.32985245224168397
EX_his__L_e,-0.2851750307567282,0.2851750307567282
EX_so4_e,-0.2749087296492651,0.2749087296492651
EX_nmn_e,-0.14436193779317263,0.14436193779317263
EX_cu2_e,-0.04493091040141285,0.04493091040141285
EX_mn2_e,-0.043790210278386865,0.043790210278386865
EX_skm_e,-0.042396021239132865,0.042396021239132865
EX_zn2_e,-0.02160993010843693,0.02160993010843693
EX_pydxn_e,-0.014132007079710959,0.014132007079710959
EX_cobalt2_e,-0.006337222905699981,0.006337222905699981
